Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1993,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 1993,Feb. 1993,Mar. 1993,Apr. 1993,May 1993,Jun. 1993,Jul. 1993,Aug. 1993,Sep. 1993,Oct. 1993,Nov. 1993,Dec. 1993,TOTAL
4413,"Automotive parts, acc., and tire stores",3146,3174,3617,3801,3795,3955,4055,4063,3896,3933,3776,3599,44810
"442,443","Furniture, home furn, electronics, and appliance stores",8209,7643,8528,8346,8558,8902,9129,9139,9014,9235,10311,13574,110588
442,Furniture and home furnishings stores,4104,3908,4369,4372,4535,4568,4682,4733,4621,4775,5158,5631,55456
4421,Furniture stores,2553,2447,2713,2646,2766,2744,2807,2775,2751,2822,3027,3248,33299
4422,Home furnishings stores,1551,1461,1656,1726,1769,1824,1875,1958,1870,1953,2131,2383,22157
44221,Floor covering stores,828,805,916,967,933,976,974,1011,1013,1042,1005,990,11460
442299,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
443,Electronics and appliance stores,4105,3735,4159,3974,4023,4334,4447,4406,4393,4460,5153,7943,55132
443141,Household appliance stores,641,593,669,701,727,803,920,817,741,773,804,948,9137
443142,Electronics stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
444,Building mat. and garden equip. and supplies dealers,8947,9208,11073,12374,13296,13209,12523,12470,12149,12220,11872,11623,140964
4441,Building mat. and supplies dealers,7746,7932,9408,10146,10769,11083,10813,10905,10578,10711,10388,9947,120426
44412,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
44413,Hardware stores,879,805,983,1092,1285,1205,1181,1098,1073,1107,1094,1198,13000
445,Food and beverage stores,30039,28126,30455,30820,31891,31352,33029,31215,30622,31223,30803,34941,374516
4451,Grocery stores,27571,25748,27911,28112,29096,28576,30067,28470,28022,28532,28081,31132,341318
44511,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
4453,"Beer, wine, and liquor stores",1614,1529,1678,1713,1796,1792,1950,1777,1707,1757,1782,2443,21538
446,Health and personal care stores,7172,7138,7719,7721,7681,7642,7671,7540,7399,7549,7527,9835,92594
44611,Pharmacies and drug stores,6163,6198,6643,6654,6595,6519,6539,6415,6311,6480,6535,8655,79707
447,Gasoline stations,12527,12060,13163,13377,14089,13999,14447,14121,13376,13961,13520,13736,162376
448,Clothing and clothing access. stores,7502,7524,8766,9867,10063,9635,9794,10628,10013,10346,11760,18851,124749
4481,Clothing stores,5439,5284,6349,7112,7128,6725,6905,7386,7093,7535,8499,12672,88127
44811,Men's clothing stores,695,618,706,796,809,792,722,729,748,836,913,1598,9962
44812,Women's clothing stores,2123,2005,2442,2762,2873,2552,2539,2626,2622,2713,2923,4170,32350
44814,Family clothing stores,1943,1992,2414,2686,2650,2616,2772,3051,2813,3084,3705,5571,35297
44819,Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
4482,Shoe stores,1173,1161,1439,1670,1615,1564,1544,1895,1659,1523,1608,2177,19028
44831,Jewelry stores,795,992,895,997,1235,1259,1267,1260,1180,1203,1549,3797,16429
451,"Sporting goods, hobby, musical instrument, and book stores",3254,2735,3211,3374,3315,3424,3440,3880,3611,3496,4260,7573,45573
45111,Sporting goods stores,1032,984,1213,1367,1387,1457,1457,1531,1313,1199,1377,2474,16791
45112,"Hobby, toy, and game stores",598,576,683,735,685,722,745,682,671,799,1480,3275,11651
451211,Book stores,998,568,602,583,612,618,607,983,903,669,692,1273,9108
452,General merchandise stores,16097,16319,19066,20271,21562,20562,20679,21834,20631,22628,26702,39645,265996
4521,Department stores,11164,11300,13411,14245,15110,14345,14348,15461,14478,15971,19064,28788,187685
452111,Department stores(excl. discount department stores),4985,5121,6296,6433,6690,6323,6237,7140,6633,7232,9041,14194,86325
452112,Discount dept. stores,6179,6179,7115,7812,8420,8022,8111,8321,7845,8739,10023,14594,101360
4529,Other general merchandise stores,4933,5019,5655,6026,6452,6217,6331,6373,6153,6657,7638,10857,78311
45291,Warehouse clubs and superstores,2878,2885,3260,3454,3772,3667,3742,3792,3699,4081,4726,6672,46628
45299,All other gen. merchandise stores,2055,2134,2395,2572,2680,2550,2589,2581,2454,2576,2912,4185,31683
453,Miscellaneous store retailers,4350,4302,4305,4804,5177,5340,5087,5255,5110,5261,5092,7462,61545
4532,"Office supplies, stationery, and gift stores",1632,1651,1620,1773,1852,1887,1873,1996,1913,1949,2210,3520,23876
45321,Office supplies and stationery stores,875,825,832,813,846,894,883,1004,981,961,1038,1175,11127
45322,"Gift, novelty, and souvenir stores",757,826,788,960,1006,993,990,992,932,988,1172,2345,12749
45330,Used merchandise stores,403,431,414,415,443,710,527,617,500,543,487,646,6136
454,Nonstore retailers,6723,6620,7481,6606,6497,5904,5813,6201,7099,7786,9151,9930,85811
4541,Electronic shopping and mail-order houses,3057,2739,3299,2962,2791,2667,2621,2895,3280,3869,4955,5542,40677
45431,Fuel dealers,1893,1885,1901,1300,1099,1058,1018,1105,1203,1436,1658,2010,17566
722,Food services and drinking places,16201,15625,17414,17841,18712,18571,19092,19329,18108,18745,17463,18366,215467
7224,Drinking places,959,920,1019,1056,1057,1017,1096,1052,971,1033,978,983,12141
7225,Restaurants and other eating places,13975,13460,15017,15351,16070,15993,16469,16699,15622,16150,15051,15862,185719
722511,Full service restaurants,6830,6675,7297,7486,7868,7783,8019,8292,7699,8015,7418,7740,91122
"722513, 722514, 722515",Limited service eating places,7145,6785,7720,7865,8202,8210,8450,8407,7923,8135,7633,8122,94597
,ADJUSTED(2),,,,,,,,,,,,,
,"Retail and food services sales, total",175108,173744,172306,176749,178426,178157,180743,180707,181773,182884,184747,186399,
,Retail sales and food services excl motor vehicle and parts,137487,137021,136351,138228,139420,139265,140453,140203,141570,142027,142670,143603,
,Retail sales and food services excl gasoline stations,161710,160148,158819,163210,164905,164696,167241,167335,168357,169129,170993,172772,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,124089,123425,122864,124689,125899,125804,126951,126831,128154,128272,128916,129976,
,"Retail sales, total",157555,156266,154752,158979,160605,160127,162816,162506,163258,164685,166594,168161,
,"Retail sales, total (excl. motor vehicle and parts dealers)",119934,119543,118797,120458,121599,121235,122526,122002,123055,123828,124517,125365,
,GAFO(1),46591,45838,45536,46789,47239,47261,48003,47827,48228,48317,48652,48920,
441,Motor vehicle and parts dealers,37621,36723,35955,38521,39006,38892,40290,40504,40203,40857,42077,42796,
"4411,4412",Automobile and other motor vehicle dealers,34021,33087,32430,34849,35267,35171,36479,36689,36342,37020,38267,39035,
4413,"Automotive parts, acc., and tire stores",3600,3636,3525,3672,3739,3721,3811,3815,3861,3837,3810,3761,
"442,443","Furniture, home furn, electronics, and appliance stores",9032,8850,8846,9024,9127,9176,9282,9312,9369,9373,9434,9487,
442,Furniture and home furnishings stores,4637,4507,4463,4564,4642,4609,4640,4645,4640,4663,4693,4693,
443,Electronics and appliance stores,4395,4343,4383,4460,4485,4567,4642,4667,4729,4710,4741,4794,
444,Building mat. and garden equip. and supplies dealers,11333,11410,11184,11417,11720,11669,11781,11875,11786,11908,12297,12583,
4441,Building mat. and supplies dealers,9634,9744,9610,9765,10046,9931,10040,10088,10065,10201,10451,10777,
445,Food and beverage stores,31045,31233,31058,31129,31164,31168,31349,31126,31201,31346,31363,31499,
4451,Grocery stores,28220,28419,28307,28367,28386,28377,28554,28357,28478,28618,28625,28773,
4453,"Beer, wine and liquor stores",1840,1836,1814,1792,1791,1796,1799,1786,1767,1768,1780,1773,
446,Health and personal care stores,7518,7651,7605,7683,7666,7680,7756,7678,7772,7758,7784,7989,
44611,Pharmacies and drug stores,6426,6566,6558,6608,6615,6652,6714,6613,6664,6660,6689,6875,
447,Gasoline stations,13398,13596,13487,13539,13521,13461,13502,13372,13416,13755,13754,13627,
448,Clothing and clothing access. stores,10581,10150,9916,10257,10386,10411,10593,10406,10549,10449,10475,10442,
4481,Clothing stores,7621,7265,7056,7336,7399,7299,7418,7272,7404,7379,7384,7314,
44811,Men's clothing stores,828,824,826,836,840,822,841,816,827,828,820,838,
44812,Women's clothing stores,3011,2709,2584,2703,2760,2695,2769,2671,2703,2662,2652,2580,
4482,Shoe stores,1572,1534,1528,1555,1577,1583,1571,1602,1619,1595,1616,1647,
44831,Jewelry stores,1270,1242,1228,1260,1303,1426,1503,1443,1439,1388,1387,1392,
451,"Sporting goods, hobby, musical instrument, and book stores",3648,3585,3608,3749,3746,3702,3810,3804,3825,3817,3930,4018,
452,General merchandise stores,21383,21392,21273,21759,21993,21957,22343,22315,22429,22647,22760,22905,
4521,Department stores,15334,15119,14985,15406,15523,15517,15757,15775,15785,15985,15987,15988,
4529,Other general merchandise stores,6049,6273,6288,6353,6470,6440,6586,6540,6644,6662,6773,6917,
45291,Warehouse clubs and superstores,3394,3579,3606,3674,3757,3784,3886,3893,4008,4073,4175,4378,
45299,All other gen. merchandise stores,2655,2694,2682,2679,2713,2656,2700,2647,2636,2589,2598,2539,
453,Miscellaneous stores retailers,5352,4896,4811,5033,4967,5153,5064,5115,5222,5432,5159,5377,
454,Nonstore retailers,6644,6780,7009,6868,7309,6858,7046,6999,7486,7343,7561,7438,
4541,Electronic shopping and mail order houses,3184,3230,3231,3216,3230,3164,3236,3275,3438,3563,3703,3705,
45431,Fuel dealers,1326,1385,1610,1396,1427,1486,1495,1505,1508,1512,1538,1453,
722,Food services and drinking places,17553,17478,17554,17770,17821,18030,17927,18201,18515,18199,18153,18238,
,,,,,,,,,,,,,,
(NA) Not advailable,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,
